semco	8067-01	2xl	1300	14.04.2010_21:59	rubascka_men	3400000033096
climber	0103_p305_d17	2xl	1300	30.05.2012_14:16	rub	0103p305d17
tello	0981	36	1800	06.10.2010_15:13	j	098109813443
climber	836_c015	34	1300	23.05.2013_11:49	rem	252859285925892859592
mirac	2045	36	1950	13.06.2012_10:23	j	2046204620349
climber	0416_g211_w031	33	2900	14.07.2012_11:05	j	0416g211w031
climber	836_c015	33	1300	23.05.2013_11:49	rem	252859285925892859592
climber	0312_g263_w027	32	2800	14.07.2012_11:03	j	0312g263w027
climber	0416_t032_s015	32	2900	02.06.2012_10:52	j	0416t032s019
jack_polo_dom	8720-01	l	900	23.09.2009_11:05	rub_man	hhfjuruuudjhhusuj
jack_polo	21001	l	1250	26.05.2013_12:37	rub	76754345678887
serline	3013	46	1100	20.04.2011_14:20	kapri	88389989nnnb324434
jp	0702	2xl	1300	14.07.2012_13:25	rub	07020702
climber	0115_o099_w001	xl	1400	30.03.2013_11:24	batnik	7382729852598
mirac	2255	36	2200	26.05.2013_12:22	j	3798545778743689
