climber	0826_g058	30,30	2500	26.08.2009_11:55	j	8698976070947
climber	0951_g21	29	2350	26.08.2009_11:58	j	000000307222
weaver	01774_0233_0004	29	2200	26.08.2009_12:10	j	8697688102830
climber	0785_k16	29	1700	26.08.2009_12:14	j	000000215275
climber	0953_d03	30	2700	26.08.2009_13:28	j	8698976007462_8698976007479
climber	0952_d61	29	2500	26.08.2009_13:29	j	000000354820_000000354837
climber	0506_d100	29,30	1900	26.08.2009_14:10	j	8698976041893_8698976041909
jordan	598	30	1900	26.08.2009_14:17	j	865433476789
climber_black	0906_t19	30	2200	26.08.2009_14:24	j	84656778gf
climber	0941_j15	29	2500	27.08.2009_13:08	j	000000341684
wallys	010	29	1700	27.08.2009_13:16	j	ghhj343
climber	0922_g17_s01	29,32	1800	28.08.2009_09:36	j	000000350242_000000350273_000000350280
armani	1094	33	2300	28.08.2009_10:53	j	gfdsgf56678
mirac	1259	29	1800	28.08.2009_11:00	j	6566667687879
climber	0986_d148_s01	29	2800	28.08.2009_11:24	j	8698976083046_8698976083077_8698976083060_8698976083084
wallys	118	33	1800	28.08.2009_11:28	j	23hgffdd98
dolce_gabbana	1280	30,32,31	2200	28.08.2009_13:20	j	00000000456
wallys	040	32,31	1700	28.08.2009_13:24	j	56787gfjg
climber	0867_d129_m15	29	3500	28.08.2009_13:37	j	8698976116980_8698976116973_8698976116997_8698976116997_8698976117017_8698976117000
jordan	630	29	2200	28.08.2009_13:51	j	32112332233
climber	0823_d146_s01	32,31	2600	28.08.2009_13:58	j	8698976101009_8698976101030_8698976101047_8698976101023
wallys	049	32,34	1700	28.08.2009_14:14	j	w01081
climber	0873_g072_s01	31	2400	28.08.2009_14:21	j	8698976115310
wallys	084	34	1700	28.08.2009_14:42	j	ggd432214567
climber	0776_d25_m11	32	2200	28.08.2009_14:49	j	000000258586_000000258616_000000258630_000000258616
climber	0874_g072_s01	29,30,32,31,36	2400	29.08.2009_10:15	j	8698976116393_8698976116423_8698976116430_8698976116416_8698976116454
ninety_nine	485	36	2100	29.08.2009_10:15	j	00088878000989
climber	0861_d176_m11	31	2500	29.08.2009_11:06	j	8698976112784_8698976112791_8698976112814_8698976112807_8698976112821_8698976112845
