eveline	4417	40	2200	22.03.2010_23:15	plat'e	1000000090222_1000000090215
figen_kiramer	859	5	2400	21.02.2010_08:59	tynika	5185290008617
semco	7333-02	xl	1300	19.09.2009_12:41	rub_man	fghjkhgfdtfg
climber	0007_s091_s03	30	3100	24.12.2009_09:10	j	8698976199181_8698976199129_8698976199174_8698976199167_8698976199143_8698976199143_8698976199150_8698976199136_8698976199181
mcl	23245	m	950	24.06.2010_13:42	maika_man	2324523245
machine	mc011134th	42	1500	17.11.2009_12:07	j	MC_011134TH_MC_011134TH
climber	0014_d031_m11	40	2700	15.10.2009_12:13	j	lkjhgdfghjk
climber	0089_d032_s01	50	3100	14.08.2010_10:45	j	8698976268986
machine	mc011134th	40	1500	17.11.2009_12:07	j	MC_011134TH_MC_011134TH
semco	8167-03	6xl	1200	14.04.2010_22:34	rubashka_men	3400000038541
climber	0030_s116_s01	30	2800	16.03.2010_02:09	j	8698976232307_8698976232321_8698976232314_000000605694_8698976232284_8698976232277_8698976232260_000000605731
legion	318	31	1500	17.02.2010_12:14	j	98765445678
mcl	23155	s	950	24.06.2010_13:59	maika_man	8786651234567887656889754
climber	0028_d092_m11	31	2900	16.03.2010_01:38	j	000000593311_8698976220953_8698976220939_8698976220960_8698976220946_000000593328_8698976220977
