zaffiro	5065_ser	36	1800	21.10.2012_10:30	bluza	98753357135
climber	454_d495_b030	32	3100	25.11.2012_10:25	j	454d495b030
climber	0057_c008_m04	40	2800	02.06.2012_10:58	j	0057c008m04
climber	129_g061_s01	38	2900	25.11.2012_10:38	j	129g061s01
climber	0026_d542_b030	29	2800	25.11.2012_10:20	j_girl	3482879849759
climber	493_d360_s040	28	3100	25.11.2012_10:44	j	493d360s040
regass	853161	33	1700	08.12.2011_09:36	j	853161
climber	282_d397_s01	30	3100	25.11.2012_10:42	j	282d397s01
avic	583	2xl	1300	07.12.2011_12:23	triko	583583583
simoni	260	52	4800	07.12.2011_12:15	kurtka	260260
tonelli	01033_siren	2xl	1350	06.11.2010_12:31	rub_man	01033_siren
climber	0074_s275_s040	38	2900	30.11.2012_09:27	j	074s274s040
avic	1330	xl	1600	07.12.2011_12:24	triko	13301330
regass	853278	30	1800	22.02.2012_15:04	j	853278
le_mirage	2705100	42	1700	21.09.2009_10:01	jubka	kitgfghfdsuy
avic	608bat	5xl	1400	07.12.2011_12:23	triko	608bat
