climber	0867_d125_m15	30	3500	04.10.2011_12:46	j	8698976116638_8698976116645_8698976116652_8698976116669_8698976116676_8698976116683
climber	0148_g120	31	2300	25.03.2011_10:01	j	0148g120
climber	0069_k049	31	2800	07.03.2011_09:56	j	0068_k049
climber	0081_g143	36	2900	14.11.2010_13:44	j	0081_g143
climber	0071_w009_s01	m	4200	07.10.2011_11:00	kurtka_man	0071w009s01
drado	504	60	2700	07.10.2011_12:06	kurtka_man	504504
returner	6119	30	1700	27.09.2011_10:05	j	61196119
climber	0081_d032_s01	33	2900	14.08.2010_11:22	j	8698976265503
machine	ma58-11	38	1700	01.11.2011_11:16	j	ma58-11
dangerous	black	41	850	05.01.2010_01:59	j	343625bhbx8
climber	0071_w009_s01	s	4200	07.10.2011_11:00	kurtka_man	0071w009s01
jordan_girl	076-280	32	1800	02.09.2009_10:29	j	737873889298474
