berjer	3188	44	1800	29.05.2010_10:33	tynika	31888831
rivi	9205_black	m	1200	16.10.2009_10:12	tolstovka	lihugdtyuhy
dolce_gabbana	11265	33	2600	16.03.2010_03:19	j_girl	8690000052714
sherif	01205_black	34	2500	29.05.2010_12:01	j_girl	987656776545433346
koton	999	l	1500	26.06.2010_12:16	maika_girl	7665464343789
wampum	2034	46	2500	18.02.2010_13:30	kurtka_girl	003401
semco	7410-02	4xl	1300	08.09.2009_09:18	rub_man	3400000029860
climber	0948_d66_s01	38	2900	02.09.2009_13:38	j	000000348645_000000348669_000000348652_000000348690_000000348706_000000348713
climber	0014_d031_m11	38	2700	15.10.2009_12:13	j	lkjhgdfghjk
wacky	w025b	37	950	05.01.2010_01:40	j	w025b
trussardi	32106	27	3100	29.05.2010_11:52	j_girl	3210632106
mirac_seryi	1523	38	1950	30.08.2009_13:47	j	fhgj543g
into	8038_zelen	m	1250	24.11.2009_13:06	tolstovka	kjhgfdrftghjju
cons	694	34	1600	02.09.2009_10:36	j	673884782894
tonelli	2/155_seryi	l	950	14.04.2010_00:45	rubashka_men	21049248
rea	5204	l	2500	24.04.2010_23:46	pidzhak_man	ikuhygtfgyhujryuf
semco	57196-01	xl	1300	08.09.2009_11:14	rubashka_men	3400000041244
climber	0090_g118_s01	33	2850	14.08.2010_11:14	j	8698976275045
prodlgy	66016	33	1600	28.02.2010_02:18	j	00023282
climber	0007_s091_s03	32	3100	24.12.2009_09:10	j	8698976199181_8698976199129_8698976199174_8698976199167_8698976199143_8698976199143_8698976199150_8698976199136_8698976199181
semco	61094-03	l	1350	16.10.2009_13:05	rub_man	3400000094912
dangerous	sinii	38	650	05.01.2010_19:07	j	sinii
marco_star	0237_bezh	4xl	500	23.05.2010_13:20	maika_man	0237bezh
