blue_petrol	2222	s	750	14.07.2012_10:13	maika_girl	222232457687788589
into	906-0542	52	1950	09.03.2012_10:39	j	906-0542
climber	0126_o099_s01	50	1450	14.07.2012_10:57	polo	0126o099s01
mirac	1816	36	2200	19.02.2011_09:04	j	18161816
climber	0301_g221_s08	29	2900	02.06.2012_09:48	j	0301g221s08
tommy_halfiger	1298	36	2900	09.03.2012_11:36	j	12981298
climber	0167_d101	34	2800	25.03.2011_09:57	j	0167d101
jack_polo	499300704	xl	1100	30.05.2012_14:25	rub	499300704
pulltonic	32026	33	1500	30.05.2011_09:15	sherty_man	320026320026
boss	hb-44	33	1700	12.02.2012_10:21	j	hb44hb44
burberry	32421	30	2800	19.02.2011_09:50	j	3224232241
ncs	1400_beyaz	xl	1100	14.07.2012_10:02	batnik	1400beyaz
tommy_halfiger	1274	42	2900	09.03.2012_11:35	j	12741274
esparanto	1868	28	2500	02.06.2012_14:29	j_girl	18581858554356
recoba	625	33	1950	04.04.2012_12:52	j	566ugthry678944467u
tommy	082	33	2500	07.10.2011_12:00	j	00820082
climber	0126_o099_s01	46	1450	14.07.2012_10:57	polo	0126o099s01
climber	0447_g244_s040	36	2850	02.06.2012_09:50	j	0447g244s040
jackwins	jw08-11	31	1300	28.08.2009_10:16	j	jjhgsi81
climber	0139_o002_s01	l	1350	14.07.2012_10:57	polo	0139o002s01
vivoesco	6279	34	1500	06.04.2012_11:16	j	62796279
climber	0033_g244_m04	36	2700	02.06.2012_10:56	j	0033g244m04
climber	0138_p285_b006	2xl	1300	14.07.2012_10:58	rub	0138p285b006
clinber	382_d420_m11	32	2800	09.03.2012_11:08	j	382_d420_m11
super_ship	se5940	36	1650	22.02.2012_14:53	j	se5940
climber	425_g184_s037	29	2800	09.03.2012_11:10	j	425_g184_s037
into	8158	l	1100	14.07.2012_10:05	batnik	8158815858
climber	0089_d170_m11	33	3200	26.02.2012_14:06	j	000000645997
mirac	1812	36	2300	19.02.2011_09:17	j	18121812
fusion	74251_krasn	36	1400	01.07.2011_11:35	bluzon	7425174251
tonelli	01036	m	1200	24.06.2010_14:23	rub_man	01036
weaver	0801864	31	1950	25.04.2010_23:45	j	8697688109570
mcl	23371	m	1100	30.05.2011_09:28	maika	2337123371
