tommy_halfiger	1361	33	3100	09.03.2012_11:35	j	13611361
mcl	23215_bel	l	900	26.06.2010_13:48	maika_man	8754343556789
baroni	len	56	1200	17.02.2010_12:43	j	lenlen
climber	0636	36	1200	07.12.2011_13:55	remni	06360636
mirac	1870	40	2100	30.05.2011_10:10	j	18701870
tonelli	2558/2	3xl	1300	09.03.2012_11:32	rub_man	2558/2
regass	853239	36	1700	25.12.2011_10:22	j	853239
shang_cheng	001_12	30	750	30.04.2010_20:35	j	00112
climber	116_o099_w01	m	1350	18.03.2012_14:45	batnik	116o099w01
beautu_queen	3333	27	1700	03.09.2009_13:28	jubka	4332567626
